original_language,runtime,popularity,vote_average,Num_genres,Num_keywords,Num_production_companies,Num_production_countries,Num_spoken_languages,Num_overview_words,Num_tagline_words,Num_Departments,Num_Cast,Num_Crew,Year,Month,Day,Is_profitable
4,114.0,100.412364,6.0,3,8,4,3,1,26,11,11,45,82,2015,5,27,1
4,119.0,42.887121,6.0,3,17,1,2,5,38,15,8,34,20,1997,12,11,1
4,165.0,23.657284,6.8,4,15,4,2,1,60,6,11,21,129,2000,6,28,1
4,125.0,76.840712,6.4,2,7,5,1,5,37,5,11,27,109,2004,12,9,1
4,120.0,44.635452,6.5,4,15,5,1,2,62,3,9,15,19,2005,6,7,1
4,119.0,103.718387,6.2,3,8,4,1,1,22,5,11,24,71,2015,3,18,1
4,170.0,45.616098,7.0,1,9,8,1,1,39,15,11,65,149,2004,12,17,0
4,85.0,22.845143,4.9,1,5,4,1,1,24,5,10,16,22,2010,12,25,1
4,119.0,31.703608,5.5,3,16,3,1,2,76,6,10,13,15,2011,1,12,1
4,102.0,71.510596,6.1,2,8,6,1,1,90,3,11,42,89,2014,3,5,1
4,103.0,36.65422,5.5,5,11,3,1,1,61,2,9,29,25,2011,7,29,1
4,76.0,19.625972,5.7,2,3,1,1,2,57,3,8,21,76,2004,4,2,0
4,121.0,86.105615,5.9,2,7,4,1,1,30,6,11,34,109,2016,3,9,1
4,127.0,37.195046,6.6,3,7,9,2,1,41,8,10,172,46,2011,9,28,1
4,105.0,32.473628,5.5,4,3,5,1,1,137,5,4,32,12,2013,7,30,1
4,121.0,23.336875,4.1,3,6,2,1,2,29,10,11,16,103,1997,6,13,1
4,114.0,45.94834,6.6,3,11,6,1,1,32,5,11,20,127,2013,10,23,1
4,128.0,48.93337,6.4,2,25,5,2,3,43,6,10,23,108,2007,6,20,1
4,178.0,138.049577,8.0,3,16,3,2,1,63,6,9,26,30,2001,12,18,1
4,120.0,22.643776,5.7,3,8,7,4,6,26,4,11,26,135,2004,6,16,0
4,157.0,18.866672,6.7,1,5,1,1,1,71,9,10,56,32,2001,12,11,0
4,115.0,95.914473,6.7,2,14,6,2,1,43,6,11,21,138,2004,7,15,1
4,144.0,44.490453,6.6,5,9,10,5,4,21,16,11,20,114,2005,5,3,1
4,84.0,30.475297,5.8,4,10,3,2,1,36,6,6,18,9,1999,12,17,1
4,97.0,62.479574,6.7,4,12,2,1,2,39,8,8,23,99,2009,12,8,1
4,141.0,167.93287,7.6,3,15,6,1,2,63,3,11,51,105,2015,9,30,1
4,136.0,37.68056,6.5,4,9,3,1,1,56,5,10,41,55,2005,7,20,1
4,118.0,52.995628,6.1,3,22,2,1,1,71,4,9,23,34,2000,6,9,1
4,155.0,95.301296,7.9,3,19,7,2,1,174,4,11,38,101,2000,5,1,1
4,145.0,65.948959,7.1,4,9,7,1,2,33,9,11,23,156,2002,6,20,1
4,161.0,132.397737,7.4,3,11,3,3,1,23,5,11,61,141,2002,11,13,1
4,144.0,88.935165,7.3,3,10,3,5,2,79,9,11,79,126,2006,11,14,1
4,119.0,51.188633,5.6,4,12,3,1,1,44,8,9,23,20,2001,7,25,1
4,137.0,101.74155,7.7,3,13,5,2,2,57,3,11,42,58,1991,7,1,1
4,140.0,33.691694,6.5,3,6,7,1,1,63,3,11,49,108,2009,7,1,1
4,157.0,42.361215,7.4,2,18,5,2,1,62,8,9,110,60,2007,11,2,1
4,141.0,38.729418,6.8,2,16,2,1,4,43,11,9,10,23,1994,7,14,1
4,106.0,40.597856,6.2,3,8,5,1,1,37,13,8,22,19,2009,6,11,1
4,98.0,32.389353,5.4,2,7,6,1,1,77,5,5,18,9,2010,12,21,1
4,107.0,24.399642,6.1,3,9,2,1,1,118,11,6,29,10,2010,8,6,1
4,115.0,24.507987,5.6,4,25,2,2,1,61,9,10,18,77,1996,6,21,1
4,91.0,46.727941,6.8,3,19,1,1,2,40,0,8,17,35,1996,6,21,1
4,78.0,51.113717,7.2,5,7,2,1,1,68,5,8,11,27,2000,12,9,1
4,103.0,53.732892,6.1,3,10,2,1,1,39,3,10,17,106,2012,8,8,1
4,131.0,58.849256,6.4,4,5,4,1,3,63,7,11,38,125,2004,11,19,1
4,104.0,30.863434,4.9,4,6,7,3,1,39,10,10,15,26,2006,12,14,1
4,101.0,31.586215,6.4,2,9,5,1,1,40,6,3,17,9,2009,10,16,1
4,102.0,36.711378,6.4,4,2,2,1,1,43,6,10,25,23,2013,5,15,1
4,103.0,41.426678,6.0,3,5,11,4,5,46,8,8,46,30,2010,12,8,1
4,121.0,20.652943,5.5,4,27,1,1,3,63,4,11,13,139,1999,11,24,1
